Model,Metric,SDR,SIR,SAR,ISR
combined_transmittance,Overall,10.062560625,14.672403749999999,8.77798,14.35563375
combined_transmittance_all,Overall,9.3974075,13.739696249999998,8.4975825,13.531457499999998
bs_roformer,Overall,10.063626249999999,15.7106375,7.9027843749999995,15.92752375
htdemucs,Overall,8.7725,14.295656874999999,6.908043750000001,13.57978125
htdemucs_ft,Overall,9.0669025,14.83433875,7.165780000000001,13.600759374999999
htdemucs_zf,Overall,8.749766874999999,14.127484375,7.03331,12.96918875
mel_band_roformer,Overall,9.164934375,14.633257500000001,7.291146875000001,14.288507500000001
openunmix,Overall,6.246600625,10.672748125,5.605714375,11.123643125000001
scnet_masked_xl_ihf,Overall,7.955321250000001,12.357813750000002,7.3051925,12.612413749999998
scnet_xl,Overall,9.073536875000002,13.347803749999999,7.370275625,13.540144375
scnet_xl_ihf,Overall,8.795781875,13.244090625000002,7.33410125,13.157705624999998
XUMXL,Overall,6.517083125,10.873571875,5.156929999999999,12.01642375
