Model,Stem,SDR,SIR,SAR,ISR
combined_transmittance,vocals,8.042490466346154,12.058033388303212,8.237938673018403,16.36051975252549
combined_transmittance,drums,11.271803406366267,16.59426021434635,10.245366464218456,17.02400753731343
combined_transmittance,bass,9.801693499162841,14.594458814643268,6.995798064373897,7.773039528698662
combined_transmittance,other,7.9032885810574225,8.344180642119838,7.002936302900436,14.364416864381068
combined_transmittance_all,vocals,7.188613893848402,10.080268086408132,8.042457300833334,15.111001714708994
combined_transmittance_all,drums,10.851897393728223,13.92113352111928,9.876769424642736,15.951940634328357
combined_transmittance_all,bass,9.105520304569433,12.699079108460847,7.2340270054150135,6.8556952699055325
combined_transmittance_all,other,7.26733530952381,8.062198284304511,6.615754053121853,13.124293002635543
bs_roformer,vocals,9.347908096273292,13.81651377632386,8.389284417336395,18.07166858065642
bs_roformer,drums,11.425282518488846,17.980564503360213,9.751130012286325,18.873248958575296
bs_roformer,bass,9.556157571874884,16.139186350243527,5.94311007659653,9.165167261243386
bs_roformer,other,8.268519052820725,10.012742601744186,6.506832268385004,15.054008965680904
htdemucs,vocals,7.058216284866156,9.744153508844665,6.4710757658333335,14.77236529784126
htdemucs,drums,9.71127149686411,14.26837721567395,8.528635839482199,16.27794759661836
htdemucs,bass,9.417051215568861,16.160462611823064,6.556849898554104,7.848924425921508
htdemucs,other,6.461115210916049,7.7219287977188085,4.79798773229681,12.856933924604668
htdemucs_ft,vocals,7.8031207455449,9.521776680939567,6.741050015776699,14.857353090694266
htdemucs_ft,drums,9.885906324464635,15.593014985728207,8.86408862415034,16.248410314285714
htdemucs_ft,bass,10.065961078697423,16.667965831473214,6.715361957671957,8.807400297428938
htdemucs_ft,other,6.55677181179972,8.14388180169753,4.961591688773805,12.783528309507979
htdemucs_zf,vocals,6.858599576022543,10.071719889061196,6.536953927500001,14.238791193493597
htdemucs_zf,drums,9.4858595689441,13.977035969415434,8.814951460069604,15.30216255693582
htdemucs_zf,bass,9.704135135353535,15.927234216730996,5.773801215464123,7.445043367568635
htdemucs_zf,other,6.509681427947416,7.050508261904762,5.0048729353032195,12.580943632812502
mel_band_roformer,vocals,8.942883198297604,13.290527892486772,8.249079719334718,16.778951715548157
mel_band_roformer,drums,9.981693352336174,13.036538338628638,8.850190792978207,16.840947156559405
mel_band_roformer,bass,8.354029618976334,14.403991308955478,5.304706820682686,6.930219428402566
mel_band_roformer,other,7.488891142129006,8.857890077736318,6.068677814913773,13.97955913759102
openunmix,vocals,5.651012446512921,8.086628072268908,5.79719945625,13.269172958711593
openunmix,drums,7.034068752895752,9.797434750935604,6.568152069746377,11.571982559883509
openunmix,bass,5.723687080374561,10.454038145576199,4.811951729166667,5.71576358910891
openunmix,other,4.833718328282829,4.468745623541887,4.203610859435173,11.009029958701635
scnet_masked_xl_ihf,vocals,5.745668358208955,9.436933934426229,7.371223072625699,14.280429999999997
scnet_masked_xl_ihf,drums,10.4459853125,13.175850746268656,9.065292403846154,16.965073277310925
scnet_masked_xl_ihf,bass,7.109534666666667,10.253420671641793,5.082106994818653,6.479713076923077
scnet_masked_xl_ihf,other,5.971237376237624,8.980846562499998,5.576950583333333,10.041522905027934
scnet_xl,vocals,6.492143922143578,10.109771213604112,7.518651985576923,15.110577096018735
scnet_xl,drums,10.842248031973766,16.115098828947367,9.901457979826546,16.96298755297256
scnet_xl,bass,8.708123490118577,12.104450673583315,5.228974190825102,6.531203830971661
scnet_xl,other,6.841463140145894,7.011639536077235,5.901454116285299,13.21292258510824
scnet_xl_ihf,vocals,6.625664619402985,9.714501397779511,7.631602014925374,15.006587019987737
scnet_xl_ihf,drums,11.12043132090336,13.940748550212163,9.708666430879571,18.088331812722103
scnet_xl_ihf,bass,7.557825950571286,10.809947821729718,5.433610216602271,5.62602857633344
scnet_xl_ihf,other,6.649056620273109,9.072314493338222,5.740345695065177,11.135340405350213
XUMXL,vocals,5.842571434782608,7.991986152025587,6.123484917349726,14.578315455937501
XUMXL,drums,7.288048535056275,9.975229731463362,6.498078583955224,13.21715640518596
XUMXL,bass,5.803386787542234,11.823169099628714,3.6261485194556906,4.074438078344754
XUMXL,other,4.802037717171205,5.057066602955409,4.022413196687371,11.840652491650484
